epoch,accuracy,dice_coef,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9820666909217834,0.27438175678253174,0.0010000000474974513,0.08118212223052979,0.6673325896263123,0.9824697971343994,0.9809573888778687,0.9941709041595459,0.9802403450012207,0.2847074270248413,0.07339252531528473,0.7034947276115417,0.9805639386177063,0.9796059131622314,0.9935322403907776
1,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.9802406430244446,0.2847074270248413,0.07339251786470413,0.703494668006897,0.9805638194084167,0.979606032371521,0.9935323596000671
2,0.9816299676895142,0.27278465032577515,0.0010000000474974513,0.09442165493965149,0.6820438504219055,0.9823914170265198,0.977667510509491,0.9941440224647522,0.9800307750701904,0.269918292760849,0.08852238208055496,0.8152827620506287,0.9798287153244019,0.9798550009727478,0.9933042526245117
3,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.0,0.9800307750701904,0.2699183523654938,0.08852239698171616,0.8152828216552734,0.9798288941383362,0.9798552989959717,0.9933043718338013
4,0.9817919731140137,0.2733824849128723,0.00020000000949949026,0.07998786121606827,0.8232706189155579,0.9817120432853699,0.9815235137939453,0.9939273595809937,0.9800307154655457,0.2612701654434204,0.09461294859647751,0.825920581817627,0.9800139665603638,0.9800402522087097,0.9933403730392456
5,0.0,0.0,4.0000002627493814e-05,0.0,0.0,0.0,0.0,0.0,0.9800307154655457,0.2612701654434204,0.09461294859647751,0.825920581817627,0.9800139665603638,0.9800402522087097,0.9933404922485352
6,0.9818040728569031,0.2805769145488739,4.0000002627493814e-05,0.07239416986703873,0.8114254474639893,0.9820382595062256,0.9815627336502075,0.9940345287322998,0.9801297783851624,0.29020434617996216,0.07094740122556686,0.8084723949432373,0.9807589650154114,0.9797802567481995,0.9936030507087708
7,0.0,0.0,4.0000002627493814e-05,0.0,0.0,0.0,0.0,0.0,0.9801300168037415,0.29020434617996216,0.07094740122556686,0.8084723949432373,0.9807589650154114,0.9797802567481995,0.9936031699180603
8,0.9819608926773071,0.28838661313056946,4.0000002627493814e-05,0.0678584948182106,0.8059289455413818,0.982829749584198,0.9810996651649475,0.9942852854728699,0.9801867604255676,0.2879008948802948,0.07183375954627991,0.8064318299293518,0.9808754920959473,0.9799414873123169,0.9936285018920898
9,0.0,0.0,8.000000889296643e-06,0.0,0.0,0.0,0.0,0.0,0.9801867604255676,0.2879008948802948,0.0718337744474411,0.8064318895339966,0.9808756709098816,0.9799414873123169,0.9936285018920898
10,0.9821525812149048,0.2955533564090729,8.000000889296643e-06,0.06454184651374817,0.8057076930999756,0.9836071729660034,0.9811861515045166,0.9945316910743713,0.9803686141967773,0.2989354729652405,0.068427674472332,0.8047232627868652,0.9819669723510742,0.9796473383903503,0.9939850568771362
11,0.0,0.0,8.000000889296643e-06,0.0,0.0,0.0,0.0,0.0,0.9803689122200012,0.2989354431629181,0.0684276595711708,0.8047232627868652,0.9819673299789429,0.979647159576416,0.9939848184585571
12,0.9821955561637878,0.29884469509124756,8.000000889296643e-06,0.06373993307352066,0.8046497702598572,0.9839999079704285,0.9808282852172852,0.9946563243865967,0.9803687930107117,0.29886940121650696,0.06861234456300735,0.8045957088470459,0.9818747043609619,0.9797676801681519,0.9939514398574829
13,0.0,0.0,1.6000001323845936e-06,0.0,0.0,0.0,0.0,0.0,0.980368971824646,0.29886940121650696,0.06861234456300735,0.8045958280563354,0.9818747043609619,0.9797674417495728,0.9939514398574829
14,0.9822643995285034,0.3008438050746918,1.6000001323845936e-06,0.06287810206413269,0.804659366607666,0.9841940402984619,0.9810053110122681,0.9947174191474915,0.9803824424743652,0.2995721697807312,0.06845627725124359,0.8044084310531616,0.9819517135620117,0.9797526001930237,0.9939761757850647
15,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,0.0,0.0,0.9803824424743652,0.2995721101760864,0.068456269800663,0.8044084310531616,0.9819517135620117,0.9797525405883789,0.9939764738082886
16,0.982269287109375,0.30112725496292114,9.999999974752427e-07,0.0627153292298317,0.80461585521698,0.9842035174369812,0.9810212254524231,0.9947190880775452,0.9803987145423889,0.3004142642021179,0.0682368203997612,0.8042781352996826,0.9820520281791687,0.9797220826148987,0.9940087795257568
17,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,0.0,0.0,0.9803987145423889,0.30041417479515076,0.0682368203997612,0.8042781352996826,0.9820521473884583,0.9797220826148987,0.9940084218978882
18,0.9822842478752136,0.30186885595321655,9.999999974752427e-07,0.0626230239868164,0.8044440150260925,0.9843712449073792,0.980928897857666,0.9947735071182251,0.9804003238677979,0.3004835546016693,0.06825870275497437,0.8042284250259399,0.9820511341094971,0.9797317981719971,0.9940081238746643
19,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,0.0,0.0,0.9804003834724426,0.3004835546016693,0.06825870275497437,0.8042284250259399,0.9820512533187866,0.979731559753418,0.9940083622932434
20,0.9822748303413391,0.30183058977127075,9.999999974752427e-07,0.06253492087125778,0.8044693470001221,0.9842685461044312,0.9810457825660706,0.9947402477264404,0.9804201126098633,0.30171212553977966,0.06793155521154404,0.8040486574172974,0.9822103977203369,0.9796701669692993,0.9940599203109741
21,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,0.0,0.0,0.9804202914237976,0.3017120063304901,0.06793154031038284,0.8040487766265869,0.9822103381156921,0.9796699285507202,0.9940595626831055
22,0.9823097586631775,0.30274683237075806,9.999999974752427e-07,0.062449779361486435,0.8042791485786438,0.9844961762428284,0.98087078332901,0.9948129057884216,0.9804164171218872,0.3013971149921417,0.0680568516254425,0.8040550947189331,0.9821557998657227,0.9797069430351257,0.9940416216850281
23,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,0.0,0.0,0.9804165959358215,0.3013971149921417,0.0680568516254425,0.8040550947189331,0.982155978679657,0.9797067642211914,0.9940417408943176
24,0.9822989702224731,0.3026992976665497,9.999999974752427e-07,0.06234380975365639,0.8042888045310974,0.9844163060188293,0.9809478521347046,0.9947872161865234,0.9804354310035706,0.3024570941925049,0.06778845191001892,0.8038970232009888,0.982293426990509,0.9796518087387085,0.9940862655639648
25,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,0.0,0.0,0.980435311794281,0.30245697498321533,0.06778843700885773,0.8038970232009888,0.9822933077812195,0.9796518683433533,0.9940862655639648
26,0.9823154211044312,0.30329492688179016,9.999999974752427e-07,0.062266990542411804,0.8041820526123047,0.9845553636550903,0.9808456301689148,0.994831919670105,0.9804389476776123,0.3026115298271179,0.06777217239141464,0.8038303852081299,0.9823027849197388,0.9796586036682129,0.9940890669822693
27,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,0.0,0.0,0.9804388284683228,0.30261150002479553,0.06777217984199524,0.8038303852081299,0.9823026061058044,0.9796587824821472,0.9940890669822693
28,0.9823303818702698,0.3037310242652893,9.999999974752427e-07,0.06216923147439957,0.8040462732315063,0.9846518635749817,0.9808339476585388,0.9948627352714539,0.9804349541664124,0.30225837230682373,0.06791218370199203,0.8037870526313782,0.9822388887405396,0.9797018766403198,0.9940680265426636
29,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,0.0,0.0,0.980435311794281,0.30225837230682373,0.06791218370199203,0.8037869930267334,0.9822389483451843,0.9797019958496094,0.9940681457519531
